Immobilie	Quadratmeter	Wandhoehe	IA_Ratio	Kategorie
726	175.00	3.00	28.00	Wohnung
727	48.00	2.90	46.00	Wohnung
728	1689.00	3.00	56.00	Haus
729	94.00	2.80	43.00	Wohnung
730	148.00	2.90	26.00	Wohnung
731	90.00	3.80	18.00	Buero
732	150.00	2.70	50.00	Wohnung
733	187.00	2.80	9.00	Buero
734	1482.00	4.00	66.00	Haus
735	53.00	2.80	54.00	Wohnung
736	163.00	3.00	18.00	Buero
737	1777.00	4.50	13.00	Haus
738	278.00	3.40	14.00	Buero
739	37.00	3.20	27.00	Wohnung
740	122.00	2.80	31.00	Wohnung
741	88.00	2.70	2.00	Buero
742	117.00	2.80	27.00	Wohnung
743	93.00	3.00	55.00	Wohnung
744	98.00	3.00	31.00	Wohnung
745	180.00	2.70	17.00	Buero
746	1785.00	4.00	57.00	Haus
747	149.00	2.70	55.00	Wohnung
748	44.00	2.70	34.00	Wohnung
749	177.00	3.00	30.00	Wohnung
750	125.00	2.85	17.00	Wohnung
751	180.00	3.50	42.00	Haus
752	76.00	2.70	24.00	Wohnung
753	123.00	2.70	3.00	Wohnung
754	217.00	3.00	31.00	Wohnung
755	124.00	2.70	54.00	Wohnung
756	81.00	2.70	4.00	Buero
757	589.00	4.50	60.00	Haus
758	658.00	3.50	13.00	Haus
759	277.00	3.10	19.00	Buero
760	105.00	2.80	48.00	Wohnung
761	148.00	3.80	12.00	Buero
762	302.00	3.40	10.00	Buero
763	179.00	2.70	42.00	Wohnung
764	1636.00	3.00	23.00	Haus
765	1615.00	4.50	41.00	Haus
766	220.00	2.70	13.00	Buero
767	150.00	2.70	30.00	Wohnung
768	72.00	2.80	30.00	Wohnung
769	109.00	3.00	55.00	Wohnung
770	207.00	2.70	7.00	Buero
771	47.00	2.80	50.00	Wohnung
772	255.00	3.00	12.00	Buero
773	230.00	3.80	20.00	Buero
774	110.00	3.10	4.00	Buero
775	11.00	3.10	2.00	Buero
776	150.00	2.80	19.00	Wohnung
777	215.00	3.40	11.00	Buero
778	211.00	2.80	33.00	Wohnung
779	159.00	3.00	33.00	Wohnung
780	121.00	2.70	5.00	Wohnung
781	182.00	2.80	0.00	Buero
782	140.00	3.00	4.00	Buero
783	143.00	2.70	21.00	Wohnung
784	110.00	2.80	38.00	Wohnung
785	296.00	3.00	13.00	Buero
786	332.00	3.10	1.00	Buero
787	46.00	2.80	1.00	Wohnung
788	30.00	2.70	16.00	Wohnung
789	13.00	3.00	20.00	Buero
790	194.00	2.70	47.00	Wohnung
791	232.00	3.80	13.00	Buero
792	21.00	3.10	10.00	Buero
793	1530.00	3.50	12.00	Haus
794	178.00	2.80	17.00	Wohnung
795	68.00	3.00	11.00	Wohnung
796	200.00	2.80	9.00	Wohnung
797	278.00	3.40	8.00	Buero
798	134.00	2.70	12.00	Wohnung
799	112.00	2.70	30.00	Wohnung
800	103.00	2.90	29.00	Wohnung
801	49.00	2.80	1.00	Wohnung
802	208.00	2.80	44.00	Wohnung
803	182.00	2.90	30.00	Wohnung
804	172.00	2.80	5.00	Wohnung
805	141.00	3.00	6.00	Buero
806	132.00	3.00	1.00	Wohnung
807	1092.00	3.00	21.00	Haus
808	699.00	3.50	46.00	Haus
809	70.00	3.00	0.00	Buero
810	212.00	2.90	53.00	Wohnung
811	33.00	2.80	35.00	Wohnung
812	167.00	3.00	17.00	Buero
813	125.00	3.20	36.00	Wohnung
814	78.00	2.80	18.00	Wohnung
815	344.00	2.70	3.00	Buero
816	93.00	2.70	29.00	Wohnung
817	112.00	2.80	8.00	Buero
818	83.00	2.70	9.00	Wohnung
819	90.00	2.70	7.00	Buero
820	290.00	3.40	8.00	Buero
821	160.00	2.70	11.00	Buero
822	188.00	3.20	14.00	Buero
823	191.00	3.00	19.00	Wohnung
824	209.00	2.70	54.00	Wohnung
825	125.00	2.70	3.00	Wohnung
826	216.00	4.00	51.00	Haus
827	123.00	3.80	2.00	Buero
828	121.00	3.00	19.00	Buero
829	28.00	2.90	12.00	Wohnung
830	276.00	3.50	12.00	Buero
831	503.00	4.00	14.00	Haus
832	64.00	2.80	18.00	Wohnung
833	284.00	3.40	11.00	Buero
834	51.00	2.80	43.00	Wohnung
835	117.00	3.20	42.00	Wohnung
836	50.00	2.70	35.00	Wohnung
837	219.00	2.70	26.00	Wohnung
838	192.00	3.00	10.00	Wohnung
839	267.00	2.80	20.00	Buero
840	205.00	3.00	31.00	Wohnung
841	154.00	2.70	33.00	Wohnung
842	136.00	3.00	16.00	Buero
843	166.00	3.20	3.00	Wohnung
844	31.00	2.80	18.00	Wohnung
845	96.00	2.70	53.00	Wohnung
846	269.00	3.80	9.00	Buero
847	104.00	3.80	11.00	Buero
848	94.00	3.00	8.00	Buero
849	50.00	2.90	36.00	Wohnung
850	196.00	2.70	44.00	Wohnung
851	191.00	3.00	36.00	Wohnung
852	195.00	2.85	10.00	Wohnung
853	91.00	2.80	44.00	Wohnung
854	84.00	3.20	28.00	Wohnung
855	67.00	2.80	51.00	Wohnung
856	632.00	4.00	19.00	Haus
857	312.00	3.40	2.00	Buero
858	151.00	2.80	8.00	Buero
859	96.00	2.70	53.00	Wohnung
860	994.00	5.00	19.00	Haus
861	31.00	2.70	33.00	Wohnung
862	1674.00	4.00	36.00	Haus
863	134.00	2.70	0.00	Wohnung
864	201.00	3.00	11.00	Buero
865	101.00	3.00	19.00	Wohnung
866	213.00	2.80	1.00	Wohnung
867	157.00	3.00	15.00	Buero
868	165.00	2.70	18.00	Wohnung
869	1322.00	3.50	38.00	Haus
870	28.00	2.80	32.00	Wohnung
871	183.00	4.00	8.00	Haus
872	167.00	2.80	50.00	Wohnung
873	152.00	3.00	46.00	Wohnung
874	135.00	3.00	34.00	Wohnung
875	33.00	2.90	24.00	Wohnung
876	34.00	3.20	0.00	Wohnung
877	78.00	3.20	43.00	Wohnung
878	34.00	3.00	11.00	Buero
879	176.00	2.70	10.00	Buero
880	68.00	3.40	17.00	Buero
881	46.00	2.70	32.00	Wohnung
882	110.00	2.80	25.00	Wohnung
883	181.00	2.80	45.00	Wohnung
884	287.00	3.40	6.00	Buero
885	98.00	3.80	10.00	Buero
886	219.00	3.00	44.00	Wohnung
887	196.00	3.20	33.00	Wohnung
888	202.00	3.50	17.00	Buero
889	330.00	2.80	11.00	Buero
890	328.00	3.10	3.00	Buero
891	78.00	3.20	5.00	Wohnung
892	141.00	2.70	1.00	Wohnung
893	71.00	2.80	44.00	Wohnung
894	218.00	3.20	1.00	Buero
895	197.00	2.80	4.00	Wohnung
896	71.00	2.90	31.00	Wohnung
897	271.00	3.20	12.00	Buero
898	128.00	2.70	27.00	Wohnung
899	191.00	3.00	2.00	Wohnung
900	230.00	3.00	4.00	Buero
901	319.00	3.50	0.00	Buero
902	169.00	3.20	4.00	Buero
903	178.00	2.80	12.00	Wohnung
904	161.00	2.80	51.00	Wohnung
905	46.00	3.20	52.00	Wohnung
906	147.00	2.80	8.00	Buero
907	100.00	2.70	53.00	Wohnung
908	171.00	2.70	20.00	Wohnung
909	167.00	2.90	48.00	Wohnung
910	343.00	3.20	12.00	Buero
911	172.00	2.80	52.00	Wohnung
912	100.00	2.70	20.00	Buero
913	69.00	2.75	7.00	Wohnung
914	127.00	2.80	54.00	Wohnung
915	37.00	2.80	23.00	Wohnung
916	65.00	3.50	11.00	Buero
917	53.00	3.50	15.00	Buero
918	251.00	3.00	6.00	Buero
919	165.00	3.40	12.00	Buero
920	184.00	2.85	17.00	Buero
921	215.00	2.70	7.00	Buero
922	174.00	2.80	25.00	Wohnung
923	274.00	3.00	2.00	Buero
924	83.00	2.90	32.00	Wohnung
925	143.00	2.80	2.00	Buero
926	95.00	2.80	26.00	Wohnung
927	146.00	3.10	12.00	Buero
928	138.00	2.80	16.00	Buero
929	275.00	3.40	14.00	Buero
930	128.00	2.70	54.00	Wohnung
931	204.00	2.80	39.00	Wohnung
932	56.00	2.80	27.00	Wohnung
933	173.00	3.00	16.00	Wohnung
934	38.00	2.80	13.00	Wohnung
935	30.00	2.90	29.00	Wohnung
936	56.00	2.70	3.00	Wohnung
937	153.00	2.80	43.00	Wohnung
938	43.00	3.80	5.00	Buero
939	181.00	3.20	1.00	Wohnung
940	43.00	2.80	52.00	Wohnung
941	1697.00	3.00	43.00	Haus
942	135.00	3.00	18.00	Buero
943	112.00	2.90	9.00	Wohnung
944	177.00	3.00	48.00	Wohnung
945	37.00	2.80	10.00	Wohnung
946	171.00	3.50	3.00	Buero
947	200.00	2.80	54.00	Wohnung
948	55.00	2.80	16.00	Wohnung
949	140.00	2.90	41.00	Wohnung
950	175.00	3.50	13.00	Buero
951	219.00	2.90	42.00	Wohnung
952	157.00	3.00	2.00	Buero
953	439.00	3.50	44.00	Haus
954	276.00	3.80	19.00	Buero
955	109.00	2.80	16.00	Wohnung
956	73.00	3.80	17.00	Buero
957	129.00	2.80	13.00	Wohnung
958	130.00	3.00	20.00	Wohnung
959	206.00	2.70	9.00	Wohnung
960	148.00	2.80	7.00	Wohnung
961	178.00	2.80	29.00	Wohnung
962	306.00	2.70	12.00	Buero
963	158.00	3.00	1.00	Wohnung
964	231.00	3.80	12.00	Buero
965	334.00	3.20	2.00	Buero
966	182.00	3.00	7.00	Buero
967	804.00	4.50	32.00	Haus
968	327.00	2.70	1.00	Buero
969	187.00	2.90	52.00	Wohnung
970	222.00	3.10	16.00	Buero
971	176.00	2.80	25.00	Wohnung
972	30.00	3.50	6.00	Buero
973	283.00	3.50	9.00	Buero
974	195.00	3.00	45.00	Wohnung
975	482.00	3.50	65.00	Haus
976	300.00	3.40	8.00	Buero
977	189.00	2.70	6.00	Buero
978	13.00	3.20	12.00	Buero
979	336.00	2.80	12.00	Buero
980	124.00	3.00	34.00	Wohnung
981	29.00	2.70	27.00	Wohnung
982	474.00	4.20	61.00	Haus
983	168.00	2.70	49.00	Wohnung
984	175.00	2.80	46.00	Wohnung
985	161.00	3.00	3.00	Buero
986	148.00	2.80	51.00	Wohnung
987	171.00	2.80	35.00	Wohnung
988	199.00	2.90	18.00	Wohnung
989	190.00	3.00	2.00	Wohnung
990	244.00	2.70	12.00	Buero
991	107.00	2.70	31.00	Wohnung
992	115.00	2.70	45.00	Wohnung
993	213.00	2.80	8.00	Wohnung
994	67.00	2.80	38.00	Wohnung
995	113.00	3.00	2.00	Wohnung
996	66.00	2.80	12.00	Wohnung
997	77.00	2.70	55.00	Wohnung
998	218.00	3.10	12.00	Buero
999	219.00	3.20	0.00	Wohnung
1000	110.00	2.80	35.00	Wohnung
1001	219.00	2.80	13.00	Wohnung
1002	162.00	2.70	33.00	Wohnung
1003	117.00	2.70	6.00	Buero
1004	68.00	2.90	49.00	Wohnung
1005	126.00	2.80	44.00	Wohnung
1006	72.00	3.00	36.00	Wohnung
1007	59.00	2.80	1.00	Wohnung
1008	39.00	2.70	43.00	Wohnung
1009	207.00	2.80	18.00	Wohnung
1010	154.00	2.90	51.00	Wohnung
1011	544.00	4.00	68.00	Haus
1012	119.00	2.70	31.00	Wohnung
1013	118.00	2.90	9.00	Wohnung
1014	126.00	2.90	25.00	Wohnung
1015	803.00	3.50	59.00	Haus
1016	145.00	3.20	33.00	Wohnung
1017	120.00	2.70	3.00	Wohnung
1018	63.00	2.90	37.00	Wohnung
1019	64.00	2.80	20.00	Wohnung
1020	51.00	3.40	4.00	Buero
1021	38.00	3.10	7.00	Buero
1022	141.00	3.40	13.00	Buero
1023	204.00	3.00	6.00	Wohnung
1024	47.00	3.00	11.00	Wohnung
1025	188.00	3.00	38.00	Wohnung
1026	59.00	3.00	1.00	Wohnung
1027	151.00	2.70	35.00	Wohnung
1028	218.00	2.80	27.00	Wohnung
1029	130.00	2.80	47.00	Wohnung
1030	131.00	2.80	36.00	Wohnung
1031	97.00	2.70	7.00	Buero
1032	189.00	2.70	47.00	Wohnung
1033	72.00	3.00	23.00	Wohnung
1034	108.00	2.80	22.00	Wohnung
1035	18.00	2.70	18.00	Buero
1036	335.00	3.40	2.00	Buero
1037	168.00	3.20	0.00	Buero
1038	67.00	2.70	52.00	Wohnung
1039	178.00	2.80	0.00	Buero
